,Tweets
142,"Arizona Cardinals Black Jersey

https://t.co/0VXPD7Wgyq

#sponsored #arizonacardinals #nfl #arizona #cardinals… https://t.co/XbgIoNJSjK"
143,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
144,Cowboys Nemesis Kyler Murray Signs Monster Cardinals Contract - Sports Illustrated - https://t.co/sZbH01Umku #GoogleAlerts
145,RT @JohnnyVenerable: The 2018 Arizona Cardinals were dead last (32nd) in the NFL in points per game with 14.1. They were one of the worst o…
146,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
147,RT @FOX4: Arizona Cardinals defensive end J.J. Watt has graciously offered to help out a fan who said she was selling her shoes and jersey…
148,"RT @BigSargeSportz: Can we be honest on this algorithm...The Arizona Cardinals overpaid for Kyler Murray...But that's just my opinion, it s…"
149,"RT @101chalk: 2022 Seasonal Projections #NFL #fantasyfootball 

@TheUndroppables 

------------------------------------------

Arizona Card…"
150,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
151,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
152,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
153,The Arizona Cardinals and quarterback Kyler Murray have agreed to a five-year contract extension worth nearly a qua… https://t.co/3aQguhEsQI
154,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
155,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
156,RT @JohnnyVenerable: Kyler Murray is the first drafted quarterback by the Arizona Cardinals to receive an extension since Jake Plummer in 1…
157,"RT @t_maples: “Kyler Murray (@K1) is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland At…"
158,RT @JohnnyVenerable: Feel pretty confident in saying that rookie Trey McBride is finally going to break this tight end curse when it comes…
159,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
160,"RT @BoBrack: According to Spotrac, the Arizona Cardinals dropped Kyler Murray's 2022 cap hit from over $11M to under $7M. K1's extension fr…"
161,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
162,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
163,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
164,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
165,"RT @TheAthletic: JUST IN — Kyler Murray has agreed to a five-year, $230.5 million extension with the Arizona Cardinals, per multiple report…"
166,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
167,"The Arizona Cardinals signed quarterback Kyler Murray to a five-year contract extension. (#NFL #AZCardinals)

Read… https://t.co/zV6YKDiUdj"
168,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
169,"Kyler Murray Signs MASSIVE DEAL With Arizona Cardinals! #kylermurray #cardinals #nfl 
https://t.co/zagh4aLYXK"
170,"RT @BettingDenver: The Arizona Cardinals sign Kyler Murray to a 5 year/ $230.5 million deal, with $160M GUARANTEED😳💰

Is this a good move f…"
171,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
172,"Get yo $!  Lamar is due next.  Arizona Cardinals star Kyler Murray agrees to $230.5 million deal, is now among NFL'… https://t.co/Os8r81lKdy"
173,"RT @robertmays: I want someone to explain the Arizona Cardinals to me. Not that the Kyler contract is bad, or the wrong decision. But expla…"
174,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
175,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
176,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
177,"RT @t_maples: “Kyler Murray (@K1) is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland At…"
178,"RT @BettingDenver: The Arizona Cardinals sign Kyler Murray to a 5 year/ $230.5 million deal, with $160M GUARANTEED😳💰

Is this a good move f…"
179,"The Arizona Cardinals sign Kyler Murray to a 5 year/ $230.5 million deal, with $160M GUARANTEED😳💰

Is this a good m… https://t.co/pYdnPcrLDL"
180,"Arizona         🤝🏼         Phoenix 
Cardinals                     Suns
                  Holding on 
              To star players"
181,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
182,"RT @BoBrack: According to Spotrac, the Arizona Cardinals dropped Kyler Murray's 2022 cap hit from over $11M to under $7M. K1's extension fr…"
183,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
184,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
185,Drama averted as Kyler Murray agrees to $230.5m deal with Arizona through 2028 https://t.co/lZWZb4O0rW
186,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
187,"RT @NBSCENTRAL: Arizona Cardinals star Kyler Murray has agreed to a five-year extension worth $230.5 million, a source told ESPN's Adam Sch…"
188,"RT @DestinyQuinnTV: Arizona Cardinals player Kyler Murray just became one of the highest-paid players in the NFL. 💸

Here are the details o…"
189,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
190,"RT @TMSMpodcast: With adding Allen Robinson &amp; Bobby Wagner. It’s hard to pick against the champs. Right?

Can Trey Lance lead the Niners? I…"
191,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
192,"Arizona Cardinals star Kyler Murray agrees to $230.5 million deal, is now among NFL's richest QBs... - via @ESPN App https://t.co/tSC1O949Vz"
193,Check out how the four NFC West teams stack up against each other with their wide receiver rooms.  https://t.co/qCLklpwZsx
194,"In a league predicated on explosive plays, the Arizona Cardinals rewarded Kyler Murray for his ability to create th… https://t.co/MozgTxHbxI"
195,"RT @AdamSchefter: More on Kyler Murray agreeing to a five-year extension worth $230.5 million, making him one of the NFL's highest-paid qua…"
196,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
197,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
198,Looking at the Arizona Cardinals roster and all I have to say is 😬. Like this roster is not good at all
199,"RT @TMSMpodcast: Who do YOU think is going to win the NFC West? 

A much less terrifying division than last year.

Can Kliff Kingsbury clos…"
200,"Kyler Murray Agrees To 5-Year, $230.5M Deal With Arizona Cardinals #SmartNews  https://t.co/NbdHIq5dma"
201,"RT @BallySports: Kyler Murray secured the BAG! 💰🤑💸

The Cardinals QB will remain with Arizona until the end of the 2028 NFL season 🏈 https:…"
202,"RT @JohnnyVenerable: The only way to sustain success in today's NFL is to have THE GUY under center.

Locking up Kyler Murray puts the Ariz…"
203,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
204,"RT @TMSMpodcast: Jimmy Garoppolo has permission to seek a trade. 

Where does he go? Is Trey Lance ready to start? 

Check out our analysis…"
